Date,Number1,Number2,Number3,Number4,Number5,BonusNumber,Source
2021-01-01,3,2,7,3,2,2,PDF_OCR_PDF_OCR
2021-01-01,3,2,7,3,2,2,PDF_OCR_PDF_OCR
2021-01-01,3,2,7,3,2,2,PDF_OCR_PDF_OCR
2021-01-01,5,2,2,2,2,3,PDF_OCR_PDF_OCR
2021-01-01,31,1,1,7,3,1,PDF_OCR_PDF_OCR
2021-01-01,4,8,11,20,24,7,PDF_OCR_PDF_OCR
2021-01-01,4,2,2,1,7,8,PDF_OCR_PDF_OCR
2021-01-01,12,3,2,4,4,5,PDF_OCR_PDF_OCR
2021-01-01,44,4,1,4,1,4,PDF_OCR_PDF_OCR
2021-01-01,3,4,2,2,8,2,PDF_OCR_PDF_OCR
2020-01-01,4,1,1,1,2,1,PDF_OCR_PDF_OCR
2020-01-01,1,1,1,1,1,1,PDF_OCR_PDF_OCR
2020-01-01,18,8,8,1,1,13,PDF_OCR_PDF_OCR
2020-01-01,18,1,2,8,1,4,PDF_OCR_PDF_OCR
2020-01-01,8,8,8,3,5,3,PDF_OCR_PDF_OCR
2020-01-01,8,8,8,8,8,8,PDF_OCR_PDF_OCR
2020-01-01,2,3,8,8,8,22,PDF_OCR_PDF_OCR
2020-01-01,8,8,8,8,12,8,PDF_OCR_PDF_OCR
2020-01-01,8,8,4,8,8,8,PDF_OCR_PDF_OCR
2020-01-01,8,8,4,8,8,8,PDF_OCR_PDF_OCR
2020-01-01,8,8,4,8,8,8,PDF_OCR_PDF_OCR
2020-01-01,8,8,8,8,4,8,PDF_OCR_PDF_OCR
2020-01-01,3,1,1,13,1,2,PDF_OCR_PDF_OCR
2020-01-01,2,1,1,1,21,1,PDF_OCR_PDF_OCR
2020-01-01,1,32,3,1,21,1,PDF_OCR_PDF_OCR
2020-01-01,21,13,4,1,1,1,PDF_OCR_PDF_OCR
2020-01-01,15,4,1,8,2,2,PDF_OCR_PDF_OCR
2020-01-01,9,9,3,3,9,3,PDF_OCR_PDF_OCR
2020-01-01,9,9,3,3,9,3,PDF_OCR_PDF_OCR
2020-01-01,9,9,3,3,9,3,PDF_OCR_PDF_OCR
2020-01-01,3,1,8,4,3,12,PDF_OCR_PDF_OCR
2020-01-01,1,1,1,1,1,1,PDF_OCR_PDF_OCR
2020-01-01,8,2,48,8,28,2,PDF_OCR_PDF_OCR
2020-01-01,1,2,2,1,2,21,PDF_OCR_PDF_OCR
2019-01-01,6,2,29,1,19,1,PDF_OCR_PDF_OCR
2019-01-01,1,1,16,1,1,14,PDF_OCR_PDF_OCR
2019-01-01,1,1,1,1,1,18,PDF_OCR_PDF_OCR
2019-01-01,28,8,31,1,1,1,PDF_OCR_PDF_OCR
2019-01-01,8,2,3,8,8,3,PDF_OCR_PDF_OCR
2019-01-01,8,2,3,8,8,3,PDF_OCR_PDF_OCR
2019-01-01,8,2,3,8,8,3,PDF_OCR_PDF_OCR
2019-01-01,1,4,1,1,1,1,PDF_OCR_PDF_OCR
2019-01-01,8,2,2,8,4,25,PDF_OCR_PDF_OCR
2019-01-01,1,1,1,1,11,11,PDF_OCR_PDF_OCR
2019-01-01,1,1,1,1,1,1,PDF_OCR_PDF_OCR
2019-01-01,1,1,1,1,1,1,PDF_OCR_PDF_OCR
2019-01-01,1,1,1,1,1,1,PDF_OCR_PDF_OCR
2019-01-01,1,1,1,60,6,1,PDF_OCR_PDF_OCR
2019-01-01,1,1,1,1,1,14,PDF_OCR_PDF_OCR
2019-01-01,1,1,1,1,1,1,PDF_OCR_PDF_OCR
2019-01-01,1,1,1,1,11,1,PDF_OCR_PDF_OCR
2019-01-01,3,7,1,1,1,1,PDF_OCR_PDF_OCR
2019-01-01,18,21,8,8,8,1,PDF_OCR_PDF_OCR
2019-01-01,21,1,1,1,1,1,PDF_OCR_PDF_OCR
2019-01-01,1,1,1,1,1,1,PDF_OCR_PDF_OCR
2019-01-01,1,1,10,1,11,1,PDF_OCR_PDF_OCR
2019-01-01,10,3,1,1,1,1,PDF_OCR_PDF_OCR
